b,m,lambda,beta,rho
65,2,0.126844325153374,0.7156493916285004,-0.6147311664032208
66,2,0.12166176812041286,0.735080976270483,-0.6253427241543698
67,2,0.35852159031963243,0.5429191694059028,-0.6043788804519681
68,2,0.1506382689228752,0.6777559916807632,-0.5720172172795709
69,2,0.1610458473857059,0.7385605759627409,-0.501846546313626
70,2,0.16764198406510503,0.6580761951262941,-0.5123755645753892
71,2,0.13930432917885832,0.6851526814541075,-0.605162730139688
72,2,3.825216011294574e-5,2.981911612014587,3.324713473695004
73,2,0.198627392988804,0.7725901614207604,0.4516536951326653
74,2,0.11440143245233875,0.9342337783125682,0.4868481421274623
75,2,0.033071700586145183,1.3951951928261275,2.9959590994080703
76,2,0.15017876970116842,0.680644567765732,-0.627507704837539
77,2,0.15182804030276845,0.6916213620938754,-0.5740776364750616
78,2,0.17348709672369494,0.7004045983944911,-0.5446446580438887
79,2,0.09700208170799611,0.7988629472119451,-0.5726630746909632
80,2,0.08336310054963997,1.1805319521168192,10.345026407487902
81,2,0.10112978036088925,1.1233064902944065,35.35178884417318
82,2,0.13827515473705584,0.6950828410699025,-0.6163727985471664
83,2,0.19683591451883536,0.6311729953216781,-0.5813976434318218
84,2,0.17881450568103607,0.6482807519472993,-0.5271621935897893
85,2,0.060327972598375766,0.8493154576315534,-0.5791351746317198
86,2,0.1337832713032078,1.0307871533070108,9.156464509342609
87,2,0.015301100201425815,1.3914479469113663,0.00477594066403017
88,2,0.1002558940655315,1.129827503591275,10.682910397743305
89,2,0.17386584380308534,0.8188206828585124,0.3445677816521163
90,2,0.1337745930380767,0.7025061501449468,-0.6035271125287487
91,2,0.04713338230871662,1.264003350605628,2.31814488858656
92,2,0.15651068677314134,0.6688339011667979,-0.5743172137573017
93,2,0.030198761580922006,1.020465677218795,-0.5568271691304517
94,2,0.19074689558025829,0.6391414692537873,-0.5360745709097545
95,2,0.0033739911066878957,1.7956674614978325,0.42012203754664756
96,2,0.06479058055766258,1.2277326347016422,9.292512494669209
97,2,0.17438423383772117,0.6482156753799435,-0.5810868834390833
98,2,0.11483388400540478,0.7406943797478814,-0.6118027978981769
99,2,0.16946447447725044,0.6511181588993542,-0.6281290621713227
100,2,0.1427106704046536,0.6891917836097373,-0.6126679507163508
